sample_ID,new_colonynumber,date ,SGD_dil,SGD_number,weight_g,volume_mL,SA_cm2,spc,salinity ,mV,pH,DO_percent,mg_L,temp_C,pH_night,TrisCalDate,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen
Cabral_Col9_Dil1_Light,17,6/12/23,1,0,28.822,10,96.14063,54.9,36.3,-75.2,8.06,73.7,4.65,28.172,,6/14/23,0.03,2.58,0.23,0.16,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil2_Light,17,6/12/23,2,0.01,18.9872,16,59.51042,55.3,36.6,-75.9,8.08,70.5,4.51,27.982,,6/14/23,0.03,2.98,0.07,<0.02,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil3_Light,17,6/12/23,3,0.03,24.4498,10,108.20833,55.1,36.4,-74.6,8.05,66.1,4.2,28.395,,6/14/23,0.07,3.15,0.8,6.67,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil4_Light,17,6/12/23,4,0.05,15.0271,2,52.65104,55.3,36.6,-76.8,8.09,67.1,4.28,28.219,,6/14/23,0.04,4.14,0.86,2.16,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil5_Light,17,6/12/23,5,0.1,27.0149,10,102.99479,55.1,36.4,-77.1,8.1,65.2,4.15,28.251,,6/14/23,0.04,3.67,0.51,12.78,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil6_Light,17,6/12/23,6,0.5,29.423,11,115.58854,54.9,36.3,-75.4,8.07,65.2,4.15,28.313,,6/14/23,0.04,6.04,0.37,2.01,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil7_Light,17,6/12/23,7,1,22.2288,9,61.42187,54.7,36.1,-76.2,8.08,62.5,3.95,28.899,,6/14/23,0.06,9.83,0.31,0.96,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil8_Light,17,6/12/23,8,2,28.7351,12,95.55729,54.3,35.8,-76.2,8.08,63.8,4.07,28.199,,6/14/23,0.04,15.57,0.24,2.42,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil9_Light,17,6/12/23,9,4,25.5787,5,75.96354,53.3,35.1,-77.2,8.1,64.8,4.15,28.389,,6/14/23,0.07,25.7,0.32,1.99,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil1_Dark,17,6/12/23,1,0,28.822,10,96.14063,54.9,36.3,-75.2,8.06,73.7,4.65,28.172,,6/14/23,0.03,2.58,0.23,0.16,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil2_Dark,17,6/12/23,2,0.01,18.9872,16,59.51042,55.3,36.6,-75.9,8.08,70.5,4.51,27.982,,6/14/23,0.03,2.98,0.07,<0.02,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil3_Dark,17,6/12/23,3,0.03,24.4498,10,108.20833,55.1,36.4,-74.6,8.05,66.1,4.2,28.395,,6/14/23,0.07,3.15,0.8,6.67,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil4_Dark,17,6/12/23,4,0.05,15.0271,2,52.65104,55.3,36.6,-76.8,8.09,67.1,4.28,28.219,,6/14/23,0.04,4.14,0.86,2.16,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil5_Dark,17,6/12/23,5,0.1,27.0149,10,102.99479,55.1,36.4,-77.1,8.1,65.2,4.15,28.251,,6/14/23,0.04,3.67,0.51,12.78,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil6_Dark,17,6/12/23,6,0.5,29.423,11,115.58854,54.9,36.3,-75.4,8.07,65.2,4.15,28.313,,6/14/23,0.04,6.04,0.37,2.01,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil7_Dark,17,6/12/23,7,1,22.2288,9,61.42187,54.7,36.1,-76.2,8.08,62.5,3.95,28.899,,6/14/23,0.06,9.83,0.31,0.96,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil8_Dark,17,6/12/23,8,2,28.7351,12,95.55729,54.3,35.8,-76.2,8.08,63.8,4.07,28.199,,6/14/23,0.04,15.57,0.24,2.42,,,,,,,,,,,,,,,,,,
Cabral_Col9_Dil9_Dark,17,6/12/23,9,4,25.5787,5,75.96354,53.3,35.1,-77.2,8.1,64.8,4.15,28.389,,6/14/23,0.07,25.7,0.32,1.99,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil1_Light,18,6/12/23,1,0,22.5718,8,95.09896,54.9,36.3,-75.2,8.06,73.7,4.65,28.172,,6/14/23,0.03,2.58,0.23,0.16,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil2_Light,18,6/12/23,2,0.01,22.4575,7,73.56771,55.3,36.6,-75.9,8.08,70.5,4.51,27.982,,6/14/23,0.03,2.98,0.07,<0.02,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil3_Light,18,6/12/23,3,0.03,34.9232,12,160.01042,55.1,36.4,-74.6,8.05,66.1,4.2,28.395,,6/14/23,0.07,3.15,0.8,6.67,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil4_Light,18,6/12/23,4,0.05,25.5783,12,99.38021,55.3,36.6,-76.8,8.09,67.1,4.28,28.219,,6/14/23,0.04,4.14,0.86,2.16,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil5_Light,18,6/12/23,5,0.1,24.5449,7,90.65104,55.1,36.4,-77.1,8.1,65.2,4.15,28.251,,6/14/23,0.04,3.67,0.51,12.78,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil6_Light,18,6/12/23,6,0.5,29.1279,11,127.89583,54.9,36.3,-75.4,8.07,65.2,4.15,28.313,,6/14/23,0.04,6.04,0.37,2.01,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil7_Light,18,6/12/23,7,1,29.1314,11,126.68229,54.7,36.1,-76.2,8.08,62.5,3.95,28.899,,6/14/23,0.06,9.83,0.31,0.96,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil8_Light,18,6/12/23,8,2,26.2201,9,89.07292,54.3,35.8,-76.2,8.08,63.8,4.07,28.199,,6/14/23,0.04,15.57,0.24,2.42,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil9_Light,18,6/12/23,9,4,24.4871,4,82.11979,53.3,35.1,-77.2,8.1,64.8,4.15,28.389,,6/14/23,0.07,25.7,0.32,1.99,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil1_Dark,18,6/12/23,1,0,22.5718,8,95.09896,54.9,36.3,-75.2,8.06,73.7,4.65,28.172,,6/14/23,0.03,2.58,0.23,0.16,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil2_Dark,18,6/12/23,2,0.01,22.4575,7,73.56771,55.3,36.6,-75.9,8.08,70.5,4.51,27.982,,6/14/23,0.03,2.98,0.07,<0.02,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil3_Dark,18,6/12/23,3,0.03,34.9232,12,160.01042,55.1,36.4,-74.6,8.05,66.1,4.2,28.395,,6/14/23,0.07,3.15,0.8,6.67,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil4_Dark,18,6/12/23,4,0.05,25.5783,12,99.38021,55.3,36.6,-76.8,8.09,67.1,4.28,28.219,,6/14/23,0.04,4.14,0.86,2.16,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil5_Dark,18,6/12/23,5,0.1,24.5449,7,90.65104,55.1,36.4,-77.1,8.1,65.2,4.15,28.251,,6/14/23,0.04,3.67,0.51,12.78,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil6_Dark,18,6/12/23,6,0.5,29.1279,11,127.89583,54.9,36.3,-75.4,8.07,65.2,4.15,28.313,,6/14/23,0.04,6.04,0.37,2.01,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil7_Dark,18,6/12/23,7,1,29.1314,11,126.68229,54.7,36.1,-76.2,8.08,62.5,3.95,28.899,,6/14/23,0.06,9.83,0.31,0.96,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil8_Dark,18,6/12/23,8,2,26.2201,9,89.07292,54.3,35.8,-76.2,8.08,63.8,4.07,28.199,,6/14/23,0.04,15.57,0.24,2.42,,,,,,,,,,,,,,,,,,
Cabral_Col10_Dil9_Dark,18,6/12/23,9,4,24.4871,4,82.11979,53.3,35.1,-77.2,8.1,64.8,4.15,28.389,,6/14/23,0.07,25.7,0.32,1.99,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil1_Light,BLANK,6/12/23,1,0,N/A,0,0,54.9,36.3,-75.2,8.06,73.7,4.65,28.172,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil2_Light,BLANK,6/12/23,2,0.01,N/A,0,0,55.3,36.6,-75.9,8.08,70.5,4.51,27.982,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil3_Light,BLANK,6/12/23,3,0.03,N/A,0,0,55.1,36.4,-74.6,8.05,66.1,4.2,28.395,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil4_Light,BLANK,6/12/23,4,0.05,N/A,0,0,55.3,36.6,-76.8,8.09,67.1,4.28,28.219,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil5_Light,BLANK,6/12/23,5,0.1,N/A,0,0,55.1,36.4,-77.1,8.1,65.2,4.15,28.251,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil6_Light,BLANK,6/12/23,6,0.5,N/A,0,0,54.9,36.3,-75.4,8.07,65.2,4.15,28.313,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil7_Light,BLANK,6/12/23,7,1,N/A,0,0,54.7,36.1,-76.2,8.08,62.5,3.95,28.899,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil8_Light,BLANK,6/12/23,8,2,N/A,0,0,54.3,35.8,-76.2,8.08,63.8,4.07,28.199,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil9_Light,BLANK,6/12/23,9,4,N/A,0,0,53.3,35.1,-77.2,8.1,64.8,4.15,28.389,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil1_Dark,BLANK,6/12/23,1,0,N/A,0,0,54.9,36.3,-75.2,8.06,73.7,4.65,28.172,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil2_Dark,BLANK,6/12/23,2,0.01,N/A,0,0,55.3,36.6,-75.9,8.08,70.5,4.51,27.982,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil3_Dark,BLANK,6/12/23,3,0.03,N/A,0,0,55.1,36.4,-74.6,8.05,66.1,4.2,28.395,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil4_Dark,BLANK,6/12/23,4,0.05,N/A,0,0,55.3,36.6,-76.8,8.09,67.1,4.28,28.219,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil5_Dark,BLANK,6/12/23,5,0.1,N/A,0,0,55.1,36.4,-77.1,8.1,65.2,4.15,28.251,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil6_Dark,BLANK,6/12/23,6,0.5,N/A,0,0,54.9,36.3,-75.4,8.07,65.2,4.15,28.313,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil7_Dark,BLANK,6/12/23,7,1,N/A,0,0,54.7,36.1,-76.2,8.08,62.5,3.95,28.899,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil8_Dark,BLANK,6/12/23,8,2,N/A,0,0,54.3,35.8,-76.2,8.08,63.8,4.07,28.199,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD5_Dil9_Dark,BLANK,6/12/23,9,4,N/A,0,0,53.3,35.1,-77.2,8.1,64.8,4.15,28.389,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil1_Light,19,6/13/23,1,0,20.9777,9,61.01563,56.1,37.1,-77.2,8.09,58.7,3.6,30.465,,6/14/23,0.04,3.21,0.18,2.56,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil2_Light,19,6/13/23,2,0.01,32.2773,4,142.45313,56.2,37.2,-77.8,8.1,60,3.68,30.4,,6/14/23,0.06,3.71,0.15,1.49,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil3_Light,19,6/13/23,3,0.03,19.3413,12,81.23438,56.1,37.1,-78.3,8.11,59.2,3.63,30.339,,6/14/23,0.06,3.36,0.19,0.78,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil4_Light,19,6/13/23,4,0.05,34.0265,12,122.16146,56.1,37.1,-79.2,8.12,59.7,3.67,30.291,,6/14/23,0.06,2.54,0.25,13.51,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil5_Light,19,6/13/23,5,0.1,25.2859,11,112.73437,56.1,37.1,-76.5,8.08,57,3.5,30.269,,6/14/23,0.04,3.24,0.15,4.43,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil6_Light,19,6/13/23,6,0.5,31.4734,12,137.19792,55.8,36.8,-79,8.12,59.7,3.67,30.273,,6/14/23,0.08,4.69,0.7,10.44,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil7_Light,19,6/13/23,7,1,30.6992,12,128.13542,55.4,36.7,-77.2,8.09,56.2,3.5,29.582,,6/14/23,0.08,8.92,1.46,8.8,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil8_Light,19,6/13/23,8,2,34.7524,10,131.68229,55.1,36.4,-77.3,8.09,60.1,3.71,30.059,,6/14/23,0.1,14.8,0.27,2.1,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil9_Light,19,6/13/23,9,4,32.691,13,140.32292,54.4,35.8,-76.8,8.08,58.6,3.61,30.442,,6/14/23,0.15,25.59,1.24,2.77,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil1_Dark,19,6/13/23,1,0,20.9777,9,61.01563,56.1,37.1,-77.2,8.09,58.7,3.6,30.465,,6/14/23,0.04,3.21,0.18,2.56,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil2_Dark,19,6/13/23,2,0.01,32.2773,4,142.45313,56.2,37.2,-77.8,8.1,60,3.68,30.4,,6/14/23,0.06,3.71,0.15,1.49,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil3_Dark,19,6/13/23,3,0.03,19.3413,12,81.23438,56.1,37.1,-78.3,8.11,59.2,3.63,30.339,,6/14/23,0.06,3.36,0.19,0.78,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil4_Dark,19,6/13/23,4,0.05,34.0265,12,122.16146,56.1,37.1,-79.2,8.12,59.7,3.67,30.291,,6/14/23,0.06,2.54,0.25,13.51,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil5_Dark,19,6/13/23,5,0.1,25.2859,11,112.73437,56.1,37.1,-76.5,8.08,57,3.5,30.269,,6/14/23,0.04,3.24,0.15,4.43,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil6_Dark,19,6/13/23,6,0.5,31.4734,12,137.19792,55.8,36.8,-79,8.12,59.7,3.67,30.273,,6/14/23,0.08,4.69,0.7,10.44,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil7_Dark,19,6/13/23,7,1,30.6992,12,128.13542,55.4,36.7,-77.2,8.09,56.2,3.5,29.582,,6/14/23,0.08,8.92,1.46,8.8,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil8_Dark,19,6/13/23,8,2,34.7524,10,131.68229,55.1,36.4,-77.3,8.09,60.1,3.71,30.059,,6/14/23,0.1,14.8,0.27,2.1,,,,,,,,,,,,,,,,,,
Cabral_Col11_Dil9_Dark,19,6/13/23,9,4,32.691,13,140.32292,54.4,35.8,-76.8,8.08,58.6,3.61,30.442,,6/14/23,0.15,25.59,1.24,2.77,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil1_Light,BLANK,6/13/23,1,0,N/A,0,0,56.1,37.1,-77.2,8.09,58.7,3.6,30.465,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil2_Light,BLANK,6/13/23,2,0.01,N/A,0,0,56.2,37.2,-77.8,8.1,60,3.68,30.4,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil3_Light,BLANK,6/13/23,3,0.03,N/A,0,0,56.1,37.1,-78.3,8.11,59.2,3.63,30.339,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil4_Light,BLANK,6/13/23,4,0.05,N/A,0,0,56.1,37.1,-79.2,8.12,59.7,3.67,30.291,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil5_Light,BLANK,6/13/23,5,0.1,N/A,0,0,56.1,37.1,-76.5,8.08,57,3.5,30.269,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil6_Light,BLANK,6/13/23,6,0.5,N/A,0,0,55.8,36.8,-79,8.12,59.7,3.67,30.273,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil7_Light,BLANK,6/13/23,7,1,N/A,0,0,55.4,36.7,-77.2,8.09,56.2,3.5,29.582,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil8_Light,BLANK,6/13/23,8,2,N/A,0,0,55.1,36.4,-77.3,8.09,60.1,3.71,30.059,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil9_Light,BLANK,6/13/23,9,4,N/A,0,0,54.4,35.8,-76.8,8.08,58.6,3.61,30.442,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil1_Dark,BLANK,6/13/23,1,0,N/A,0,0,56.1,37.1,-77.2,8.09,58.7,3.6,30.465,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil2_Dark,BLANK,6/13/23,2,0.01,N/A,0,0,56.2,37.2,-77.8,8.1,60,3.68,30.4,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil3_Dark,BLANK,6/13/23,3,0.03,N/A,0,0,56.1,37.1,-78.3,8.11,59.2,3.63,30.339,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil4_Dark,BLANK,6/13/23,4,0.05,N/A,0,0,56.1,37.1,-79.2,8.12,59.7,3.67,30.291,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil5_Dark,BLANK,6/13/23,5,0.1,N/A,0,0,56.1,37.1,-76.5,8.08,57,3.5,30.269,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil6_Dark,BLANK,6/13/23,6,0.5,N/A,0,0,55.8,36.8,-79,8.12,59.7,3.67,30.273,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil7_Dark,BLANK,6/13/23,7,1,N/A,0,0,55.4,36.7,-77.2,8.09,56.2,3.5,29.582,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil8_Dark,BLANK,6/13/23,8,2,N/A,0,0,55.1,36.4,-77.3,8.09,60.1,3.71,30.059,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_BlankD6_Dil9_Dark,BLANK,6/13/23,9,4,N/A,0,0,54.4,35.8,-76.8,8.08,58.6,3.61,30.442,,6/14/23,,,,,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil1_Light,20,6/13/23,1,0,15.175,3,49.99479,56.1,37.1,-77.2,8.09,58.7,3.6,30.465,,6/14/23,0.04,3.21,0.18,2.56,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil2_Light,20,6/13/23,2,0.01,14.2964,1,56.42188,56.2,37.2,-77.8,8.1,60,3.68,30.4,,6/14/23,0.06,3.71,0.15,1.49,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil3_Light,20,6/13/23,3,0.03,30.861,11,83.47396,56.1,37.1,-78.3,8.11,59.2,3.63,30.339,,6/14/23,0.06,3.36,0.19,0.78,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil4_Light,20,6/13/23,4,0.05,30.2251,10,90.96354,56.1,37.1,-79.2,8.12,59.7,3.67,30.291,,6/14/23,0.06,2.54,0.25,13.51,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil5_Light,20,6/13/23,5,0.1,18.7057,9,57.44271,56.1,37.1,-76.5,8.08,57,3.5,30.269,,6/14/23,0.04,3.24,0.15,4.43,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil6_Light,20,6/13/23,6,0.5,17.5437,4,60.40104,55.8,36.8,-79,8.12,59.7,3.67,30.273,,6/14/23,0.08,4.69,0.7,10.44,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil7_Light,20,6/13/23,7,1,23.4845,11,107.1875,55.4,36.7,-77.2,8.09,56.2,3.5,29.582,,6/14/23,0.08,8.92,1.46,8.8,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil8_Light,20,6/13/23,8,2,38.5353,13,124.29167,55.1,36.4,-77.3,8.09,60.1,3.71,30.059,,6/14/23,0.1,14.8,0.27,2.1,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil9_Light,20,6/13/23,9,4,23.8189,11,95.29688,54.4,35.8,-76.8,8.08,58.6,3.61,30.442,,6/14/23,0.15,25.59,1.24,2.77,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil1_Dark,20,6/13/23,1,0,15.175,3,49.99479,56.1,37.1,-77.2,8.09,58.7,3.6,30.465,,6/14/23,0.04,3.21,0.18,2.56,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil2_Dark,20,6/13/23,2,0.01,14.2964,1,56.42188,56.2,37.2,-77.8,8.1,60,3.68,30.4,,6/14/23,0.06,3.71,0.15,1.49,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil3_Dark,20,6/13/23,3,0.03,30.861,11,83.47396,56.1,37.1,-78.3,8.11,59.2,3.63,30.339,,6/14/23,0.06,3.36,0.19,0.78,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil4_Dark,20,6/13/23,4,0.05,30.2251,10,90.96354,56.1,37.1,-79.2,8.12,59.7,3.67,30.291,,6/14/23,0.06,2.54,0.25,13.51,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil5_Dark,20,6/13/23,5,0.1,18.7057,9,57.44271,56.1,37.1,-76.5,8.08,57,3.5,30.269,,6/14/23,0.04,3.24,0.15,4.43,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil6_Dark,20,6/13/23,6,0.5,17.5437,4,60.40104,55.8,36.8,-79,8.12,59.7,3.67,30.273,,6/14/23,0.08,4.69,0.7,10.44,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil7_Dark,20,6/13/23,7,1,23.4845,11,107.1875,55.4,36.7,-77.2,8.09,56.2,3.5,29.582,,6/14/23,0.08,8.92,1.46,8.8,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil8_Dark,20,6/13/23,8,2,38.5353,13,124.29167,55.1,36.4,-77.3,8.09,60.1,3.71,30.059,,6/14/23,0.1,14.8,0.27,2.1,,,,,,,,,,,,,,,,,,
Cabral_Col12_Dil9_Dark,20,6/13/23,9,4,23.8189,11,95.29688,54.4,35.8,-76.8,8.08,58.6,3.61,30.442,,6/14/23,0.15,25.59,1.24,2.77,,,,,,,,,,,,,,,,,,
Varari_Col1_Dil1_Light,1,6/17/23,1,0,20.6889,9,55.1875,56.2,37.3,-75.8,8.06,69,4.42,27.714,8.09,6/14/23,0.03,4.88,2.52,4.96,0.1040786,0.155314718,0.083356466,0.128188648,0.21665121,0.0287306,0.021499686,0.056875608,0.01442864,0.067512569,0.142874717,0.579524224,1.348186647,2.977514359,0.650264026,9.852919544,0.098645213,36.86098165
Varari_Col1_Dil2_Light,1,6/17/23,2,0.01,21.364,10,71.65104,56.3,37.4,-77.4,8.09,70.3,4.51,27.764,8.1,6/14/23,0.06,4.51,4.67,4.07,0.077855148,0.132592318,0.060234682,0.09444218,0.190770337,0.040852753,0.016940629,0.042454439,0.011874137,0.052091791,0.105396302,0.56039274,0.86827778,2.870859637,0.637794284,9.148461481,0.119821381,30.45880696
Varari_Col1_Dil3_Light,1,6/17/23,3,0.03,25.9042,11,98.76563,56.3,37.4,-76.3,8.07,69.5,4.45,27.81,8.1,6/14/23,0.07,4.53,3.03,4.95,0.085213434,0.120094864,0.067658871,0.09868862,0.16574026,0.013343263,0.014697815,0.045599892,0.009817066,0.050031123,0.13014703,0.500950059,1.163226316,3.05747378,0.685579264,7.823758763,0.105483318,27.50755555
Varari_Col1_Dil4_Light,1,6/17/23,4,0.05,25.0998,12,92.44792,56.2,37.3,-75.5,8.06,69,4.41,27.795,8.1,6/14/23,0.08,4.82,1.87,3.32,0.062861697,0.105097177,0.049975972,0.075537174,0.118947116,0.027190668,0.014242683,0.036273929,0.010010878,0.04439367,0.104535873,0.528170624,1.076960282,2.784974847,0.661607656,6.201683995,0.103376353,22.20358918
Varari_Col1_Dil5_Light,1,6/17/23,5,0.1,24.2234,11,81.38542,56.2,37.3,-76,8.07,69.1,4.41,27.816,8.1,6/14/23,0.05,5.27,2.5,6.31,0.079154502,0.101126666,0.059579743,0.089496993,0.131928823,0.007230069,0.014339519,0.039174374,0.009465931,0.049513912,0.091600659,0.474397989,1.526978699,3.000671139,0.665717815,6.250449491,0.093529205,23.43486899
Varari_Col1_Dil6_Light,1,6/17/23,6,0.5,19.381,9,68.07812,56,37.1,-76,8.07,68,4.36,27.818,8.1,6/14/23,0.05,7.07,2.23,4.4,0.073847715,0.112410889,0.061580238,0.086611484,0.118719368,0.03494314,0.018689035,0.045514847,0.014095662,0.047657298,0.09205652,0.526891674,1.383652181,2.70901538,0.710993912,6.037106492,0.088745632,22.23328434
Varari_Col1_Dil7_Light,1,6/17/23,7,1,23.3229,11,120.33854,55.8,37,-75.5,8.06,68.4,4.39,27.829,8.1,6/14/23,0.07,10.06,2.58,1.99,0.09144804,0.119120579,0.069345486,0.09317767,0.128654744,0.041514738,0.015277177,0.044239184,0.010341143,0.056028758,0.088317616,0.426437882,1.636768143,2.914070123,0.744228589,6.645662086,0.0916279,25.24332283
Varari_Col1_Dil8_Light,1,6/17/23,8,2,18.0429,11,56.14063,55.3,36.6,-75.9,8.06,67.6,4.34,27.793,8.09,6/14/23,0.09,13.55,2.78,3.81,0.065658142,0.081602651,0.05285662,0.080565343,0.115197507,0.017495543,0.013505454,0.038237866,0.009017884,0.041527177,0.094863384,0.560030502,1.249580061,2.692350285,0.656071437,5.445938258,0.089688376,21.43262057
Varari_Col1_Dil9_Light,1,6/17/23,9,4,22.3262,8,80.58854,54.3,35.9,-74,8.03,62.1,4,27.887,8.09,6/14/23,0.13,22.86,3.21,5.31,0.076461099,0.144363436,0.06079772,0.097938422,0.164848298,0.029770244,0.017364882,0.043746896,0.011452002,0.051900371,0.133909788,0.619177434,1.143252101,2.773854572,0.620774961,8.009991851,0.104760712,28.6955812
Varari_Col1_Dil1_Dark,1,6/17/23,1,0,20.6889,9,55.1875,56.2,37.3,-75.8,8.06,69,4.42,27.714,8.09,6/14/23,0.03,4.88,2.52,4.96,,,,,,,,,,,,,,,,,,
