sample_ID,SGD_dil,SGD_number,weight_g,volume_mL,SA_cm2,salinity ,pH,DO,temp,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL
Cabral_Blank_Dil5_Dark_Day5,5,0.1,1,0,1,,,,,,,,
Cabral_Blank_Dil6_Dark_Day5,6,0.5,1,0,1,,,,,,,,
Cabral_Blank_Dil7_Dark_Day5,7,1,1,0,1,,,,,,,,
Cabral_Blank_Dil8_Dark_Day5,8,2,1,0,1,,,,,,,,
Cabral_Blank_Dil9_Dark_Day5,9,4,1,0,1,,,,,,,,
Cabral_Col11_Dil1_Light,1,0,1,9,1,,,,,3.21,,,
Cabral_Col11_Dil2_Light,2,0.01,1,4,1,,,,,3.71,,,
Cabral_Col11_Dil3_Light,3,0.03,1,12,1,,,,,3.36,,,
Cabral_Col11_Dil4_Light,4,0.05,1,12,1,,,,,2.54,,,
Cabral_Col11_Dil5_Light,5,0.1,1,11,1,,,,,3.24,,,
Cabral_Col11_Dil6_Light,6,0.5,1,12,1,,,,,4.69,,,
Cabral_Col11_Dil7_Light,7,1,1,12,1,,,,,8.92,,,
Cabral_Col11_Dil8_Light,8,2,1,10,1,,,,,14.8,,,
Cabral_Col11_Dil9_Light,9,4,1,13,1,,,,,25.59,,,
Cabral_Col11_Dil1_Dark,1,0,1,9,1,,,,,3.21,,,
Cabral_Col11_Dil2_Dark,2,0.01,1,4,1,,,,,3.71,,,
Cabral_Col11_Dil3_Dark,3,0.03,1,12,1,,,,,3.36,,,
Cabral_Col11_Dil4_Dark,4,0.05,1,12,1,,,,,2.54,,,
Cabral_Col11_Dil5_Dark,5,0.1,1,11,1,,,,,3.24,,,
Cabral_Col11_Dil6_Dark,6,0.5,1,12,1,,,,,4.69,,,
Cabral_Col11_Dil7_Dark,7,1,1,12,1,,,,,8.92,,,
Cabral_Col11_Dil8_Dark,8,2,1,10,1,,,,,14.8,,,
Cabral_Col11_Dil9_Dark,9,4,1,13,1,,,,,25.59,,,
Cabral_Col12_Dil1_Light,1,0,1,3,1,,,,,3.21,,,
Cabral_Col12_Dil2_Light,2,0.01,1,1,1,,,,,3.71,,,
Cabral_Col12_Dil3_Light,3,0.03,1,11,1,,,,,3.36,,,
Cabral_Col12_Dil4_Light,4,0.05,1,10,1,,,,,2.54,,,
Cabral_Col12_Dil5_Light,5,0.1,1,9,1,,,,,3.24,,,
Cabral_Col12_Dil6_Light,6,0.5,1,4,1,,,,,4.69,,,
Cabral_Col12_Dil7_Light,7,1,1,11,1,,,,,8.92,,,
Cabral_Col12_Dil8_Light,8,2,1,13,1,,,,,14.8,,,
Cabral_Col12_Dil9_Light,9,4,1,11,1,,,,,25.59,,,
Cabral_Col12_Dil1_Dark,1,0,1,3,1,,,,,3.21,,,
Cabral_Col12_Dil2_Dark,2,0.01,1,1,1,,,,,3.71,,,
Cabral_Col12_Dil3_Dark,3,0.03,1,11,1,,,,,3.36,,,
Cabral_Col12_Dil4_Dark,4,0.05,1,10,1,,,,,2.54,,,
Cabral_Col12_Dil5_Dark,5,0.1,1,9,1,,,,,3.24,,,
Cabral_Col12_Dil6_Dark,6,0.5,1,4,1,,,,,4.69,,,
Cabral_Col12_Dil7_Dark,7,1,1,11,1,,,,,8.92,,,
Cabral_Col12_Dil8_Dark,8,2,1,13,1,,,,,14.8,,,
Cabral_Col12_Dil9_Dark,9,4,1,11,1,,,,,25.59,,,
Cabral_Blank_Dil1_Light_Day6,1,0,1,0,1,,,,,,,,
Cabral_Blank_Dil2_Light_Day6,2,0.01,1,0,1,,,,,,,,
Cabral_Blank_Dil3_Light_Day6,3,0.03,1,0,1,,,,,,,,
Cabral_Blank_Dil4_Light_Day6,4,0.05,1,0,1,,,,,,,,
Cabral_Blank_Dil5_Light_Day6,5,0.1,1,0,1,,,,,,,,
Cabral_Blank_Dil6_Light_Day6,6,0.5,1,0,1,,,,,,,,
Cabral_Blank_Dil7_Light_Day6,7,1,1,0,1,,,,,,,,
Cabral_Blank_Dil8_Light_Day6,8,2,1,0,1,,,,,,,,
Cabral_Blank_Dil9_Light_Day6,9,4,1,0,1,,,,,,,,
Cabral_Blank_Dil1_Dark_Day6,1,0,1,0,1,,,,,,,,
Cabral_Blank_Dil2_Dark_Day6,2,0.01,1,0,1,,,,,,,,
Cabral_Blank_Dil3_Dark_Day6,3,0.03,1,0,1,,,,,,,,
Cabral_Blank_Dil4_Dark_Day6,4,0.05,1,0,1,,,,,,,,
Cabral_Blank_Dil5_Dark_Day6,5,0.1,1,0,1,,,,,,,,
Cabral_Blank_Dil6_Dark_Day6,6,0.5,1,0,1,,,,,,,,
Cabral_Blank_Dil7_Dark_Day6,7,1,1,0,1,,,,,,,,
Cabral_Blank_Dil8_Dark_Day6,8,2,1,0,1,,,,,,,,
Cabral_Blank_Dil9_Dark_Day6,9,4,1,0,1,,,,,,,,
