rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,PR,frag_ID,sample_ID,species_ID,weight_g,volume_mL,SA_cm2,species,full_species
1.49,29.07,-20.19,46.05,0.05,0.6,NA,16.98,66.25,9.11,-0.54,GrossPhoto,A01,A01_TPC,A,1,463,24.72486281,Pcyl,Porites cylindrica
1.52,29.18,12.94,68.56,0.45,0.45,1.78,39.38,55.62,8.82,-0,GrossPhoto,G01,G01_TPC,G,1,460,20.38296944,Elam,Echinopora lamellosa
1.37,30.35,-7.07,43.9,0.37,0.69,1.62,13.55,50.96,8.66,-0.32,GrossPhoto,C01,C01_TPC,C,1,462,23.69761104,Fcom,Favites complanata
1.24,29.36,7.46,56.27,0.42,0.48,1.71,26.92,48.81,9.09,-0.06,GrossPhoto,F01,F01_TPC,F,1,464,14.38535037,Prug,Pachyseris rugosa
1.27,30.21,11.31,Inf,0.38,0.19,1.63,Inf,Inf,8.92,0.2,GrossPhoto,E01,E01_TPC,E,1,460,33.93822657,Peyd,Pocillopora eydouxi
1.26,29.88,8.93,61.16,0.45,0.4,1.78,31.27,52.22,8.64,0.05,GrossPhoto,J01,J01_TPC,J,1,465,16.22929921,Ahya,Acropora hyacinthus
1.14,29.83,12.17,Inf,0.47,0.23,1.83,Inf,Inf,8.82,0.24,GrossPhoto,I01,I01_TPC,I,1,468,26.20193602,Tfro,Turbinaria frondens
1.38,30.73,-2.74,44.44,0.46,0.53,1.81,13.71,47.17,8.02,-0.06,GrossPhoto,B01,B01_TPC,B,1,462,19.26639142,Mvie,Montipora vietnamensis
1.01,30.09,-9.04,46.15,0.29,0.57,1.45,16.06,55.19,9.5,-0.28,GrossPhoto,H01,H01_TPC,H,1,461,32.84078989,Maeq,Montipora aequituberculata
1.43,30.36,-9.77,56.32,0.27,0.29,1.42,25.96,66.1,9.5,-0.02,GrossPhoto,D01,D01_TPC,D,1,460,28.54674986,Prus,Porites rus
1.63,28.96,8.47,66.38,0.41,0.3,1.7,37.42,57.91,9.5,0.11,GrossPhoto,G02,G02_TPC,G,1,461,16.88329491,Elam,Echinopora lamellosa
1.29,29.19,-3.41,78.25,0.18,0.26,NA,49.06,81.66,9.5,-0.08,GrossPhoto,E02,E02_TPC,E,1,457,34.41995023,Peyd,Pocillopora eydouxi
1.47,29.63,-1,45.39,0.39,0.67,1.65,15.75,46.39,8.37,-0.28,GrossPhoto,F04,F04_TPC,F,1,463,22.44704366,Prug,Pachyseris rugosa
1.58,29.63,-2.16,56.94,0.32,0.26,NA,27.31,59.1,9.5,0.06,GrossPhoto,D02,D02_TPC,D,1,464,18.28699298,Prus,Porites rus
1.45,27.94,20.5,Inf,1.29,0.01,5.35,Inf,Inf,9.27,1.28,GrossPhoto,A02,A02_TPC,A,1,459,19.14835317,Pcyl,Porites cylindrica
1.29,29.86,10.65,Inf,0.42,0.14,1.73,Inf,Inf,9.38,0.29,GrossPhoto,I02,I02_TPC,I,1,460,24.37074807,Tfro,Turbinaria frondens
1.68,29.22,13.51,Inf,0.35,0.31,NA,Inf,Inf,9.14,0.05,GrossPhoto,C02,C02_TPC,C,1,460,24.72805304,Fcom,Favites complanata
1.16,26.87,21.2,Inf,NA,0.35,NA,Inf,Inf,7.59,NA,GrossPhoto,J02,J02_TPC,J,1,464,20.79769841,Ahya,Acropora hyacinthus
1.15,29.5,9.46,59.21,0.5,0.38,1.91,29.71,49.75,8.8,0.13,GrossPhoto,B02,B02_TPC,B,1,464,18.64110773,Mvie,Montipora vietnamensis
0.78,28.93,-2.89,48.1,0.4,0.47,1.68,19.17,50.99,8.72,-0.07,GrossPhoto,H02,H02_TPC,H,1,455,37.79520607,Maeq,Montipora aequituberculata
1.19,29.14,13.93,Inf,0.29,0.11,1.45,Inf,Inf,9.5,0.18,GrossPhoto,E03,E03_TPC,E,1,457,37.62293403,Peyd,Pocillopora eydouxi
0.96,29.4,21.98,Inf,0.76,0.11,2.67,Inf,Inf,8.62,0.66,GrossPhoto,I03,I03_TPC,I,1,459,30.56935118,Tfro,Turbinaria frondens
1.6,26.37,21.04,Inf,NA,0.12,NA,Inf,Inf,9.5,NA,GrossPhoto,A03,A03_TPC,A,1,461,19.11326072,Pcyl,Porites cylindrica
1.06,28.36,16.68,Inf,0.55,0.35,2.03,Inf,Inf,9.16,0.2,GrossPhoto,H04,H04_TPC,H,1,458,41.64580512,Maeq,Montipora aequituberculata
1.71,29.38,15.09,Inf,0.58,0.23,2.11,Inf,Inf,8.7,0.35,GrossPhoto,F03,F03_TPC,F,1,463,17.6489484,Prug,Pachyseris rugosa
1.46,27.73,21.23,Inf,1.24,0.14,5,Inf,Inf,8.91,1.1,GrossPhoto,J03,J03_TPC,J,1,461,29.80688791,Ahya,Acropora hyacinthus
1.28,29.27,17.28,53.73,0.92,0.75,3.27,24.45,36.45,6.3,0.17,GrossPhoto,B03,B03_TPC,B,1,465,17.06832783,Mvie,Montipora vietnamensis
2.38,30.48,6.95,42.56,0.66,0.92,2.34,12.08,35.61,6.39,-0.26,GrossPhoto,C03,C03_TPC,C,1,452,26.45396363,Fcom,Favites complanata
1.9,28.3,19.63,Inf,0.91,0.3,3.25,Inf,Inf,8.6,0.62,GrossPhoto,G05,G05_TPC,G,1,465,17.26931188,Elam,Echinopora lamellosa
1.35,28.07,19.8,Inf,0.61,0.07,2.19,Inf,Inf,9.33,0.54,GrossPhoto,D03,D03_TPC,D,1,463,17.32354567,Prus,Porites rus
1.47,29.51,10.7,58.4,0.51,0.41,1.92,28.89,47.71,8.57,0.1,GrossPhoto,B07,B07_TPC,B,1,468,13.30067458,Mvie,Montipora vietnamensis
1.75,30.02,-10.88,52.98,0.28,0.3,NA,22.97,63.87,9.5,-0.03,GrossPhoto,A07,A07_TPC,A,1,462,13.81749069,Pcyl,Porites cylindrica
1.61,27.68,20.81,Inf,0.83,0.1,2.93,Inf,Inf,9.31,0.73,GrossPhoto,E07,E07_TPC,E,1,462,18.03177515,Peyd,Pocillopora eydouxi
1.42,28.88,14.62,64.55,0.71,0.4,2.5,35.68,49.94,8.2,0.31,GrossPhoto,J07,J07_TPC,J,1,465,16.49727793,Ahya,Acropora hyacinthus
2,29.38,9.58,69.61,0.36,0.34,NA,40.22,60.02,9.26,0.02,GrossPhoto,C07,C07_TPC,C,1,463,12.85404337,Fcom,Favites complanata
1.97,29.86,-19.17,41.01,0.2,0.8,NA,11.15,60.17,8.7,-0.6,GrossPhoto,F07,F07_TPC,F,1,444,25.48732609,Prug,Pachyseris rugosa
1.72,28.3,16.97,Inf,0.53,0.29,1.99,Inf,Inf,9.2,0.25,GrossPhoto,D07,D07_TPC,D,1,465,13.26877235,Prus,Porites rus
1.45,28.07,18.12,Inf,0.5,0.28,1.9,Inf,Inf,9.28,0.22,GrossPhoto,I07,I07_TPC,I,1,466,10.84739316,Tfro,Turbinaria frondens
1.25,28.75,12.36,67.63,0.51,0.32,1.93,38.88,55.27,9.15,0.18,GrossPhoto,G07,G07_TPC,G,1,462,20.22026807,Elam,Echinopora lamellosa
1.06,26.7,21.07,Inf,NA,0.08,NA,Inf,Inf,9.5,NA,GrossPhoto,H07,H07_TPC,H,1,468,19.99695246,Maeq,Montipora aequituberculata
0.83,27.1,2.12,50.62,0.42,0.55,1.72,23.52,48.5,7.1,-0.13,GrossPhoto,B08,B08_TPC,B,1,465,21.71648261,Mvie,Montipora vietnamensis
0.86,30.32,-7.29,44.02,0.27,0.73,1.4,13.7,51.31,8.74,-0.46,GrossPhoto,H08,H08_TPC,H,1,466,15.57211329,Maeq,Montipora aequituberculata
1.6,30.66,-4.06,48.69,0.3,0.48,1.48,18.03,52.76,8.68,-0.18,GrossPhoto,E08,E08_TPC,E,1,461,30.03020351,Peyd,Pocillopora eydouxi
2.15,30.38,11.41,Inf,0.33,0.23,NA,Inf,Inf,9.03,0.09,GrossPhoto,D04,D04_TPC,D,1,460,15.43174348,Prus,Porites rus
1.13,30.02,5.92,55.51,0.4,0.47,1.67,25.5,49.59,8.67,-0.07,GrossPhoto,J08,J08_TPC,J,1,464,15.59444485,Ahya,Acropora hyacinthus
1.45,30.47,-Inf,37.55,0.24,1.27,NA,7.08,Inf,8.55,-1.03,GrossPhoto,F08,F08_TPC,F,1,457,24.85885218,Prug,Pachyseris rugosa
2.05,30.97,-7.62,60.08,0.21,0.13,NA,29.11,67.7,9.5,0.08,GrossPhoto,I08,I08_TPC,I,1,465,7.194587934,Tfro,Turbinaria frondens
1.6,29.22,15.48,63.17,0.73,0.47,2.56,33.95,47.69,7.85,0.26,GrossPhoto,G08,G08_TPC,G,1,461,22.74054416,Elam,Echinopora lamellosa
1.74,30.05,-12.28,56.96,0.15,0.26,NA,26.91,69.24,8,-0.11,GrossPhoto,A08,A08_TPC,A,1,464,13.2751528,Pcyl,Porites cylindrica
0.95,29.43,-15.16,49.7,0.04,0.41,1.05,20.28,64.86,8,-0.37,GrossPhoto,C08,C08_TPC,C,1,467,8.907737636,Fcom,Favites complanata
